,quarter_id,lat,lon,coordinates,area,population,great_parks_count,great_parks_area,great_parks_ndvi,good_parks_count,good_parks_area,good_parks_ndvi,ok_parks_count,ok_parks_area,ok_parks_ndvi,general_ndvi,general_area
181,way/76701504,56.81849439433962,60.413419835849055,"[(56.8207862, 60.4035755), (56.8177669, 60.4102135), (56.8156867, 60.4146203), (56.8155457, 60.4144782), (56.8155178, 60.414564), (56.8154503, 60.4144916), (56.8153828, 60.414387), (56.815327, 60.4142421), (56.8153226, 60.4141349), (56.8152653, 60.4140732), (56.8152962, 60.4139766), (56.8151831, 60.4138613), (56.8151523, 60.4139471), (56.8151053, 60.4139096), (56.8150715, 60.4139149), (56.8150246, 60.4139551), (56.8149468, 60.4139578), (56.8147431, 60.4137698), (56.8146737, 60.4137057), (56.81459, 60.4139605), (56.8146634, 60.4140301), (56.8147292, 60.4140925), (56.8155604, 60.4148805), (56.8155428, 60.4149422), (56.8155824, 60.4149798), (56.8153897, 60.4156619), (56.8171863, 60.4178807), (56.8179778, 60.4178788), (56.819532, 60.4192993), (56.8197131, 60.4200624), (56.8198325, 60.4205655), (56.8204723, 60.4209271), (56.8219724, 60.420063), (56.8226616, 60.4203476), (56.8229771, 60.4176879), (56.8231302, 60.4164028), (56.8231801, 60.4153129), (56.8231443, 60.4140814), (56.8230374, 60.4132985), (56.8228908, 60.4127578), (56.8226344, 60.4122788), (56.8218755, 60.4111522), (56.821579, 60.4118523), (56.82167, 60.4119703), (56.82161, 60.4121325), (56.8206033, 60.4106155), (56.8202958, 60.4101553), (56.821995, 60.406183), (56.8222465, 60.4055952), (56.8214852, 60.4045422), (56.8212373, 60.4041994), (56.821171, 60.4041077), (56.8207862, 60.4035755)]",481145.76,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
182,way/76701505,56.82441928055555,60.41043716666666,"[(56.8282485, 60.4040432), (56.8277263, 60.4038641), (56.8269729, 60.403567), (56.8269847, 60.4033363), (56.8253218, 60.4027569), (56.8241021, 60.4026604), (56.8236703, 60.4024251), (56.8233969, 60.4029919), (56.8233307, 60.4031864), (56.8231332, 60.4034934), (56.8222465, 60.4055952), (56.821995, 60.406183), (56.8202958, 60.4101553), (56.8206033, 60.4106155), (56.82161, 60.4121325), (56.82167, 60.4119703), (56.821579, 60.4118523), (56.8218755, 60.4111522), (56.8226344, 60.4122788), (56.8228908, 60.4127578), (56.8230374, 60.4132985), (56.8231443, 60.4140814), (56.8231801, 60.4153129), (56.8231302, 60.4164028), (56.8229771, 60.4176879), (56.8226616, 60.4203476), (56.8245782, 60.4210672), (56.8265784, 60.4218183), (56.8267095, 60.4203407), (56.8271503, 60.4153716), (56.8274665, 60.4120077), (56.8274787, 60.4118658), (56.827485, 60.4117452), (56.8274864, 60.4116994), (56.8274942, 60.4116302), (56.8282485, 60.4040432)]",630858.37,375,0,0.0,0.0,2,5235.59,0.5898,1,3810.67,0.747,0.656,9046.26
183,way/77148566,56.63650216,60.56962754,"[(56.6369858, 60.5692609), (56.6362743, 60.568461), (56.6357876, 60.5702118), (56.6364773, 60.5709431), (56.6369858, 60.5692609)]",10820.42,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
184,way/77148656,56.63739204,60.57097814,"[(56.636572, 60.5709832), (56.6381477, 60.572463), (56.6385978, 60.5711217), (56.6370707, 60.5693396), (56.636572, 60.5709832)]",21107.38,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
185,way/77148658,56.63962925999999,60.572942620000006,"[(56.6405366, 60.573349), (56.6386296, 60.5711715), (56.6382231, 60.5724793), (56.6402204, 60.5743643), (56.6405366, 60.573349)]",20507.89,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
186,way/78336957,56.91889355625,60.48408048125,"[(56.9191129, 60.4826876), (56.9188154, 60.4834132), (56.9185987, 60.4838302), (56.9183192, 60.4845707), (56.9183219, 60.4850979), (56.9184905, 60.4853199), (56.9187143, 60.4848421), (56.9187643, 60.484905), (56.918884, 60.4846124), (56.918974, 60.4847322), (56.9191694, 60.4842175), (56.919135, 60.4841503), (56.9192937, 60.483671), (56.9191994, 60.4834935), (56.9193913, 60.4830566), (56.9191129, 60.4826876)]",8396.54,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
187,way/82878308,56.80098345555555,60.49118507777777,"[(56.7994384, 60.4910455), (56.7996845, 60.491321), (56.799891, 60.4915321), (56.8004083, 60.4920834), (56.800349, 60.4928367), (56.8003456, 60.4928802), (56.8003007, 60.4934463), (56.8021959, 60.4937866), (56.8022578, 60.4930831), (56.8023922, 60.4914384), (56.8024562, 60.4906547), (56.8024699, 60.4904867), (56.802508, 60.4899279), (56.8020516, 60.4897987), (56.8007454, 60.4888825), (56.8005202, 60.4886694), (56.8002491, 60.4884127), (56.7994384, 60.4910455)]",71373.63,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
188,way/83074107,56.83948181666667,60.5402321,"[(56.839442, 60.5404393), (56.8397725, 60.5404031), (56.8394879, 60.5397352), (56.8393808, 60.5399417), (56.8393657, 60.540434), (56.839442, 60.5404393)]",1137.12,0,0,0.0,0.0,1,10051.88,0.5277,3,15418.41,0.6297,0.5895,25470.3
189,way/83074415,56.83823352222223,60.5381521,"[(56.8381376, 60.5359336), (56.8369222, 60.5359406), (56.8367586, 60.5400274), (56.8378831, 60.540142), (56.8392154, 60.5402367), (56.8392169, 60.5391083), (56.8391659, 60.5387449), (56.8386644, 60.5373018), (56.8381376, 60.5359336)]",57383.26,725,0,0.0,0.0,1,5534.8,0.6905,3,19935.5,0.5614,0.5895,25470.3
190,way/83074416,56.8361927625,60.5315097125,"[(56.83663, 60.5295446), (56.8366336, 60.5288016), (56.8360753, 60.5286578), (56.8358415, 60.5287181), (56.8355672, 60.5355427), (56.8355967, 60.5355949), (56.8365678, 60.5356734), (56.83663, 60.5295446)]",42321.86,25,0,0.0,0.0,0,0.0,0.0,3,22605.62,0.6209,0.6209,22605.62
191,way/83252599,56.88994594705883,60.49361624705882,"[(56.8876062, 60.4899341), (56.8876541, 60.4907438), (56.8876741, 60.4919137), (56.8880447, 60.4966096), (56.8890303, 60.4963673), (56.8891422, 60.4973006), (56.8894387, 60.4971815), (56.8895873, 60.4981411), (56.8911833, 60.4966478), (56.891907, 60.4962962), (56.8928339, 60.4960411), (56.8926961, 60.4942969), (56.8925608, 60.4924748), (56.8922985, 60.4888143), (56.8906979, 60.4892018), (56.8891198, 60.4895775), (56.8876062, 60.4899341)]",243337.38,0,0,0.0,0.0,0,0.0,0.0,1,146792.09,0.7613,0.7613,146792.09
192,way/83252602,56.88825102857143,60.482494621428565,"[(56.8873238, 60.4781752), (56.8871446, 60.479958), (56.8870053, 60.4800263), (56.8869237, 60.4803283), (56.8873189, 60.4856343), (56.8874721, 60.4876368), (56.887479, 60.4879629), (56.8875951, 60.4896741), (56.8906876, 60.4889346), (56.8902843, 60.4833411), (56.8899086, 60.4786424), (56.8895804, 60.4787389), (56.8894672, 60.4776966), (56.8873238, 60.4781752)]",233547.76,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
193,way/83252606,56.8909863625,60.47810508125,"[(56.8905532, 60.4849295), (56.8919896, 60.4845677), (56.8919121, 60.4837007), (56.8919883, 60.4836768), (56.8918865, 60.4826001), (56.8917327, 60.4806176), (56.8912398, 60.473757), (56.8912078, 60.4730727), (56.8908509, 60.4730248), (56.8907278, 60.4724474), (56.8905063, 60.4724485), (56.8904284, 60.4728432), (56.8903074, 60.4739321), (56.8897665, 60.4740407), (56.8901313, 60.479093), (56.8905532, 60.4849295)]",115936.44,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
194,way/83252610,56.89162542,60.48760728,"[(56.8921596, 60.4868003), (56.8907089, 60.4870988), (56.8908345, 60.488867), (56.8922645, 60.48847), (56.8921596, 60.4868003)]",17076.25,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
195,way/83459092,56.818401566666665,60.6740292,"[(56.8181798, 60.6730854), (56.8178122, 60.675169), (56.8185478, 60.6755896), (56.819076, 60.6738582), (56.8186138, 60.6733876), (56.8181798, 60.6730854)]",12620.5,0,0,0.0,0.0,0,0.0,0.0,5,26511.01,0.6472,0.6472,26511.01
196,way/83673247,56.75793847777778,60.5893439,"[(56.7585873, 60.5906175), (56.7587755, 60.5891584), (56.7578698, 60.5885468), (56.7577992, 60.5885147), (56.7576114, 60.5884338), (56.7574875, 60.5887292), (56.7574173, 60.5889884), (56.757311, 60.5904888), (56.7585873, 60.5906175)]",16333.32,0,1,31.42,0.4242,0,0.0,0.0,0,0.0,0.0,0.4242,31.42
