id,название,широта_центра,долгота_центра,все_точки_границ,количество_точек,северная_граница,южная_граница,западная_граница,восточная_граница,сервер
859285182,Квартал,56.825001,60.639743,"60.638494,56.825606; 60.639086,56.823879; 60.639473,56.823905; 60.639462,56.823991; 60.639339,56.824928; 60.639254,56.825151; 60.639213,56.825332; 60.639805,56.825330; 60.639834,56.825449; 60.640806,56.825371; 60.640738,56.824982; 60.640560,56.824704; 60.641047,56.824630; 60.641543,56.825391; 60.638743,56.825762; 60.638494,56.825606",16,56.825762,56.823879,60.638494,60.641543,https://overpass.kumi.systems/api/interpreter
859285183,Квартал,56.827475,60.641396,"60.638046,56.826825; 60.639817,56.826995; 60.640042,56.827146; 60.640393,56.827190; 60.640615,56.826739; 60.641005,56.826598; 60.641350,56.826247; 60.641270,56.826023; 60.642114,56.825934; 60.642584,56.825911; 60.643742,56.825687; 60.643912,56.825996; 60.645744,56.825720; 60.646795,56.827099; 60.646484,56.827181; 60.646999,56.828731; 60.642247,56.829910; 60.640962,56.830364; 60.640148,56.830599; 60.639328,56.829805; 60.636949,56.829474; 60.637325,56.828519; 60.637595,56.827880; 60.638046,56.826825",24,56.830599,56.825687,60.636949,60.646999,https://overpass.kumi.systems/api/interpreter
859285184,Квартал,56.826458,60.656938,"60.658758,56.825608; 60.652728,56.827231; 60.653114,56.827695; 60.657840,56.826430; 60.658034,56.826553; 60.659337,56.826084; 60.658758,56.825608",7,56.827695,56.825608,60.652728,60.659337,https://overpass.kumi.systems/api/interpreter
859285185,Квартал,56.825601,60.655489,"60.657567,56.824554; 60.654804,56.825221; 60.654702,56.826075; 60.652760,56.826430; 60.652615,56.827049; 60.658409,56.825328; 60.657567,56.824554",7,56.827049,56.824554,60.652615,60.658409,https://overpass.kumi.systems/api/interpreter
859735724,Квартал,56.832925,60.580056,"60.580738,56.833780; 60.581431,56.831974; 60.580062,56.831813; 60.578367,56.832611; 60.579000,56.833591; 60.580738,56.833780",6,56.83378,56.831813,60.578367,60.581431,https://overpass.kumi.systems/api/interpreter
859735725,Квартал,56.835327,60.584019,"60.585700,56.834541; 60.585112,56.836175; 60.583642,56.836046; 60.582499,56.835920; 60.582422,56.835859; 60.583055,56.834208; 60.585700,56.834541",7,56.836175,56.834208,60.582422,60.5857,https://overpass.kumi.systems/api/interpreter
859735726,Квартал,56.833503,60.585004,"60.585756,56.834277; 60.586390,56.832610; 60.583885,56.832325; 60.583235,56.834027; 60.585756,56.834277",5,56.834277,56.832325,60.583235,60.58639,https://overpass.kumi.systems/api/interpreter
859735727,Квартал,56.833511,60.588104,"60.588672,56.834607; 60.588840,56.834169; 60.588454,56.834122; 60.588692,56.833429; 60.589058,56.833470; 60.589136,56.833362; 60.589270,56.833050; 60.589064,56.833017; 60.589094,56.832943; 60.588496,56.832866; 60.588439,56.832969; 60.588316,56.832952; 60.588292,56.832945; 60.587272,56.832833; 60.587020,56.832985; 60.586580,56.833717; 60.586371,56.833695; 60.586205,56.834161; 60.586141,56.834328; 60.588672,56.834607",20,56.834607,56.832833,60.586141,60.58927,https://overpass.kumi.systems/api/interpreter
859735728,Квартал,56.834216,60.590574,"60.591230,56.834837; 60.591524,56.834215; 60.591735,56.834094; 60.591974,56.833356; 60.589708,56.833079; 60.589231,56.834161; 60.589046,56.834661; 60.589488,56.834705; 60.591230,56.834837",9,56.834837,56.833079,60.589046,60.591974,https://overpass.kumi.systems/api/interpreter
859735735,Квартал,56.834755,60.596604,"60.596049,56.833891; 60.597338,56.834032; 60.597330,56.834101; 60.597234,56.834089; 60.596651,56.835655; 60.596682,56.835732; 60.596672,56.835810; 60.595427,56.835593; 60.596049,56.833891",9,56.83581,56.833891,60.595427,60.597338,https://overpass.kumi.systems/api/interpreter
859735737,Квартал,56.829367,60.594804,"60.593934,56.830022; 60.595294,56.830096; 60.595377,56.829303; 60.595694,56.828447; 60.594594,56.828310; 60.593934,56.830022",6,56.830096,56.82831,60.593934,60.595694,https://overpass.kumi.systems/api/interpreter
